feature,importance
num__vote_count,0.3238248394886228
num__popularity,0.25168045236790126
num__vote_average,0.09509791252250226
num__release_year,0.08908659678349223
num__budget,0.08791273418733568
num__runtime,0.058258411608665406
cat__main_genre_Horror,0.01432931876327315
cat__main_genre_Drama,0.010567336536639162
cat__main_genre_Comedy,0.00853439375982917
cat__main_genre_Action,0.007798153296880129
cat__main_genre_Adventure,0.004631849148952419
cat__main_genre_Crime,0.004209447978845301
cat__main_genre_War,0.004039610482695921
cat__original_language_en,0.003589021402666514
cat__main_genre_Fantasy,0.003504445884428464
cat__main_genre_Thriller,0.0033153731924653223
cat__main_genre_Science Fiction,0.0028712166480355217
cat__original_language_fr,0.002724449972756003
cat__main_genre_Western,0.0025438771411110867
cat__main_genre_Animation,0.002088868822723818
cat__main_genre_Romance,0.002069129084389646
cat__original_language_ja,0.001694867129224208
cat__main_genre_Documentary,0.0015045074949216098
cat__main_genre_Family,0.0014576045127547923
cat__main_genre_Mystery,0.0014197993120404022
cat__original_language_hi,0.0013825120422987873
cat__original_language_de,0.001226771115099993
cat__main_genre_Music,0.0011823063612738883
cat__original_language_es,0.0010544352069865534
cat__main_genre_History,0.0009486365343597714
cat__original_language_zh,0.0008937444243203027
cat__original_language_cn,0.0005529106509117362
cat__original_language_it,0.0004899898958829767
cat__original_language_ru,0.0004666994758633071
cat__original_language_id,0.0003870037118520452
cat__original_language_pt,0.00033731733000124336
cat__original_language_ko,0.0003283834261413906
cat__original_language_nl,0.0003054285769212614
cat__original_language_da,0.0002773465995423361
cat__original_language_af,0.0002511013144862071
cat__original_language_th,0.00024117685069211612
cat__original_language_is,0.00020006067219725877
cat__original_language_pl,0.0001464185052423279
cat__original_language_xx,0.000139563082555612
cat__original_language_ro,0.00012469968812904732
cat__original_language_no,0.00012310605365415574
cat__original_language_vi,0.0001035318877946661
cat__original_language_he,8.263907064070008e-05
