main_genre,movie_count,avg_profit,avg_roi
Animation,98,218527438.12,6.28
Family,38,172206322.53,2.72
Adventure,288,170718673.92,4.71
Science Fiction,79,146139274.68,4.19
Fantasy,93,119642573.51,3.7
Action,588,97322816.16,1.88
Romance,70,69887043.1,3.43
Mystery,27,65985200.74,4.15
Thriller,118,60873099.85,2.94
Comedy,634,56210243.34,4.26
Horror,197,50941923.26,5178.56
Drama,747,46064426.92,11383.98
Crime,141,39166664.83,2.28
Western,22,32930690.0,7.31
Music,20,26995555.85,3.01
Documentary,30,18670262.9,198.39
